publisher_name,title,publication_date,author_name,language_name
Thomas Nelson,The Illuminati,04-10-2004,Larry Burkett,English
Thomas Nelson,The Servant Leader,11-03-2003,Kenneth H. Blanchard,English
Time Life Medical,What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,01-09-1999,Time-Life Books,English
Cliffs Notes,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,29-12-1983,W. John Campbell,English
Applause Theatre & Cinema Book Publishers,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,01-04-2000,Eric Bentley,English
Applause Theatre & Cinema Book Publishers,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,01-04-2000,Lope de Vega,English
Applause Theatre & Cinema Book Publishers,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,01-04-2000,Miguel de Cervantes Saavedra,English
Applause Theatre & Cinema Book Publishers,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,01-04-2000,Pedro CalderÃ³n de la Barca,English
Applause Theatre & Cinema Book Publishers,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,01-04-2000,Roy Campbell,English
Applause Theatre & Cinema Book Publishers,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,01-04-2000,Tirso de Molina,English
Limelight,The Season: A Candid Look at Broadway,01-07-2004,William Goldman,English
Hal Leonard Publishing Corporation,The Beatles Complete - Updated Edition,01-12-1986,The Beatles,English
Prentice Hall,Working Effectively with Legacy Code,01-09-2004,Michael C. Feathers,English
Starfire,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),06-10-1998,L.M. Montgomery,English
DK Publishing (Dorling Kindersley),Plants Bite Back! (DK Readers),25-10-1999,Richard Platt,English
Conari Press,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,31-05-2000,Mark Nepo,English
Ryland Peters & Small,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,01-03-2001,Jason Lowe,English
Ryland Peters & Small,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,01-03-2001,Maxine Clark,English
Ryland Peters & Small,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,01-03-2001,Ursula Ferrigno,English
ADV Manga,PrÃ©tear  Vol. 3 (PrÃ©tear  #3),12-10-2004,Junichi SatÅ,English
ADV Manga,PrÃ©tear  Vol. 3 (PrÃ©tear  #3),12-10-2004,Kaori Naruse,English
Carole Marsh Mysteries,The Mystery in the Rocky Mountains,01-04-2001,Carole Marsh,English
Carole Marsh Mysteries,The Mystery on the Mighty Mississippi,01-04-2001,Carole Marsh,English
Sams,Programming in C,08-07-2004,Stephen G. Kochan,English
BradyGames,Manhunt Official Strategy Guide,25-11-2003,Tim Bogenn,English
Sourcebooks,Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life,01-04-2003,Raeleen D'Agostino Mautner,English
Dark Horse Books,Aliens: Original Sin,26-10-2005,Michael Jan Friedman,English
Crystal Clarity Publishers,Healing Therapies for Overcoming Insomnia,23-02-2005,Peter Van Houten,English
Crystal Clarity Publishers,Healing Therapies for Overcoming Insomnia,23-02-2005,Rich McCord,English
Rupa & Co,The Prophet,01-01-2010,Jihad El,English
Rupa & Co,The Prophet,01-01-2010,Kahlil Gibran,English
Rupa & Co,The Prophet,01-01-2010,Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†,English
Collins,Sam And The Firefly (Beginner Books),17-06-1985,P.D. Eastman,English
HarperCollins,After the Funeral,02-07-2001,Agatha Christie,English
Dodd Mead; 1st edition (September 1976),Sleeping Murder (Miss Marple  #13),04-08-2003,Agatha Christie,English
HarperCollins Publishers,Rage of Angels,03-08-1999,Sidney Sheldon,English
HarperCollins,Agatha Christie: An Autobiography,02-01-2001,Agatha Christie,English
HarperCollins,Agatha Christie: An Autobiography,02-01-2001,Robert Welch Herrick,English
